"gene","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj"
"Abcc1",8.36184624711302e-27,0.590026169888788,0.5,0.015,2.35845873399823e-22
"Lat2",3.11292449412443e-26,1.78393342167631,0.75,0.037,8.78000353567795e-22
"Tespa1",4.19690792475931e-26,0.368606699783068,0.25,0.004,1.18373788017836e-21
"Matk",4.33869014958194e-26,0.305634562610166,0.25,0.004,1.22372755668959e-21
"Ccl4",1.49889271242822e-25,5.184737385671,1,0.077,4.22762689540379e-21
"Muc20",6.09290399782244e-25,0.297983479494473,0.125,0.001,1.71850357258582e-20
"Rasl10a",6.09290399782244e-25,0.453698622108385,0.125,0.001,1.71850357258582e-20
"Zfp945",2.58291672268451e-24,0.632952918467373,0.375,0.01,7.28511661633166e-20
"Stx3",9.70622653757338e-24,1.80483164574455,0.5,0.018,2.73764119492257e-19
"Nedd4",4.60037310788392e-23,2.27171079660557,0.625,0.03,1.29753523507866e-18
"Nat6",8.76642405512586e-23,0.347809185300694,0.375,0.01,2.47256990474825e-18
"Rnf144b",5.85797881607748e-21,1.1129121045597,0.25,0.005,1.65224292507465e-16
"Hoxb3",1.01631158561084e-20,0.316035239728377,0.25,0.005,2.86650682721538e-16
"Cd69",2.64373191543301e-20,3.11913039088622,0.875,0.068,7.4566458674788e-16
"Wdr63",3.33601399771104e-20,0.4534387370838,0.125,0.001,9.40922748054398e-16
"Lpar4",5.46573773630393e-19,0.451536300841147,0.25,0.006,1.54161132852452e-14
"Jak2",6.98641864146766e-18,1.38819483619535,0.875,0.075,1.97051937782595e-13
"Prkd3",1.31927286925268e-17,0.894010475819874,0.75,0.053,3.72100912772719e-13
"Ccr3",4.88998408514862e-17,0.426679798834953,0.125,0.001,1.37922001121617e-12
"Igfbp3",4.88998408514862e-17,0.296411183026812,0.125,0.001,1.37922001121617e-12
"Cox6a2",5.3167671801271e-17,0.450404799949264,0.125,0.001,1.49959418315485e-12
"Gabra2",2.33597869472914e-16,0.377805481646668,0.375,0.015,6.58862790848353e-12
"Gemin2",5.78345120031201e-16,0.351237042879716,0.25,0.007,1.631222411048e-11
"Il18r1",6.77299220303748e-16,1.21177829238638,0.5,0.028,1.91032245086672e-11
"Fam124b",1.67481481256496e-15,0.546312262626575,0.5,0.028,4.72381517883947e-11
"Zfp704",1.8004703296186e-15,0.637632687720955,0.25,0.007,5.07822656468926e-11
"Prkacb",1.95037627171545e-15,2.2681185631023,0.75,0.068,5.50103627437343e-11
"Mcidas",2.0584852315383e-15,0.505433604826588,0.25,0.007,5.80595759555378e-11
"Ier3",2.51093937452567e-15,3.55162609027669,1,0.142,7.08210450584965e-11
"Cd163l1",9.03371232278493e-15,0.295257773101685,0.125,0.002,2.54795856064149e-10
"Gria4",9.03371232278493e-15,0.452318498663598,0.125,0.002,2.54795856064149e-10
"Gm15258",2.29419449424221e-14,0.356791888760094,0.25,0.008,6.47077557101014e-10
"Acss2",2.93732028509831e-14,0.716655772842336,0.5,0.03,8.28471186411977e-10
"Gm7676",8.63587696787192e-14,2.12398117768197,1,0.152,2.43574909878828e-09
"Xlr5b",8.74360313839191e-14,0.277592201940424,0.25,0.008,2.46613326518344e-09
"Flnb",1.42524976451181e-13,0.490394168703179,0.25,0.008,4.01991696080557e-09
"Galnt6",1.55446806599818e-13,0.616675104883717,0.375,0.018,4.38437718014786e-09
"Slc41a3",2.88315784419697e-13,1.12087344332098,0.5,0.034,8.13194669955756e-09
"Deptor",4.09222467176248e-13,1.39789287725287,0.75,0.079,1.15421196867061e-08
"Tmprss11b",4.56605819973067e-13,0.589639081123292,0.625,0.049,1.28785671523403e-08
"Ube2z",5.61985949911039e-13,0.772489614593741,0.625,0.051,1.58508137172409e-08
"Xlr5c",6.07829461486632e-13,0.276931212817722,0.25,0.008,1.71438299612305e-08
"Crtap",1.07458754122065e-12,0.860054437293483,0.25,0.009,3.03087416001283e-08
"Ccr2",1.87078358183049e-12,1.07255350030921,0.625,0.054,5.27654509255289e-08
"Vopp1",5.85700889926053e-12,0.791090513745702,0.375,0.021,1.65196936003643e-07
"Csgalnact2",9.26942461060107e-12,0.701982622723671,0.625,0.055,2.61444121142003e-07
"Kazn",9.71872116185313e-12,0.45157223544076,0.125,0.002,2.74116530370068e-07
"Mtfp1",9.71872116185313e-12,0.451528301007038,0.125,0.002,2.74116530370068e-07
"Zfp125",9.99410010300718e-12,0.262646151015051,0.125,0.002,2.81883593405317e-07
"Itga2",1.05679849515609e-11,0.281495706178022,0.125,0.002,2.98070015558776e-07
"Mettl7a2",1.14484533887163e-11,0.394548523976828,0.25,0.01,3.22903627828744e-07
"Il18rap",4.26696413668044e-11,0.713868251492595,0.625,0.06,1.20349723475072e-06
"Jmjd6",4.87525095801306e-11,0.862959690729629,0.375,0.023,1.37506453270758e-06
