"gene","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Hsp90b1",2.39505571442191e-07,-0.363030911334753,0.339,0.653,0.006755254642527,0.00176383154468082,-0.36573131293962,0.208,0.315,1,3.60781528494576e-13,-0.312642389775839,0.4,0.623,1.01758430111895e-08,0.00176383154468082,1.08234458548334e-12
"H2-Ab1",2.13575462521857e-09,1.51427667841999,0.571,0.245,6.02389592042896e-05,5.75037110190943e-09,1.39710850506391,0.404,0.174,0.000162189216929355,8.08889437115372e-13,1.27743145412988,0.457,0.269,2.28147265738391e-08,5.75037110190943e-09,2.42666831134415e-12
"Rps19",0.000653051822708196,0.545115829847278,0.863,0.929,1,0.00412121405745173,0.336285420701127,0.829,0.781,1,8.15682929288252e-13,0.527445752012077,0.792,0.739,2.30063370205752e-08,0.00412121405745173,2.44704878786277e-12
"Glul",4.97789677105769e-06,-0.324715638497019,0.23,0.469,0.140401578427682,0.00409792030513085,-0.31071637914048,0.135,0.219,1,5.75637410283417e-12,-0.276060391338431,0.281,0.47,1.62358531570438e-07,0.00409792030513085,1.72691223084031e-11
"Tnfrsf1b",2.76180032202362e-07,-0.647624442994323,0.35,0.653,0.00778965780826762,0.316713085295669,0.251336930494617,0.286,0.247,1,5.82187281502238e-12,-0.447343599433167,0.394,0.601,1.64205922747706e-07,0.316713085295669,1.74656184449655e-11
"Vim",0.0181551602780709,-0.404026317174275,0.7,0.765,1,0.00560383602365078,-0.382348381161502,0.523,0.601,1,5.75826382971454e-11,-0.531380988749142,0.763,0.813,1.62411831317099e-06,0.0181551602780709,1.72747914881489e-10
"Psme1",0.0016126945514111,0.554839867737302,0.521,0.408,1,0.00183317960410319,0.477416455578642,0.288,0.174,1,8.81107237973469e-11,0.557883288683945,0.506,0.331,2.48516296470417e-06,0.00183317960410319,2.64332171368751e-10
"Rpl26",0.000457238859157788,0.395820344440416,0.79,0.796,1,0.000933543920046961,0.279816817893761,0.732,0.596,1,1.36187760251875e-10,0.356585422553842,0.694,0.555,3.84117577790413e-06,0.000933543920046961,4.08563280699984e-10
"Stk17b",1.37580231353189e-09,-0.489410410263675,0.308,0.653,3.8804504253167e-05,0.0433671541505751,-0.384448217623316,0.1,0.152,1,2.34208793129666e-10,-0.325436932626412,0.428,0.615,6.60585901022222e-06,0.0433671541505751,7.02626379224436e-10
"Rps28",8.37999696100022e-07,0.585343782905529,0.91,0.939,0.0236357814285011,0.000171502856258049,0.335274688725697,0.882,0.876,1,4.87882532874969e-10,0.351817765358215,0.863,0.878,1.37607268397385e-05,0.000171502856258049,1.46364759791082e-09
