"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Eef1a1",5.35437235064983e-201,-2.88039395083343,0.395,0.952,1.51020072150078e-196,2.01523895907209e-225,-2.86346583992325,0.598,0.994,5.68398148406283e-221,0,-2.92517949499141,0.523,0.998,0,5.35437235064983e-201,0
"Mmp9",9.75706866598055e-201,2.93367613869754,0.883,0.062,2.75198121723981e-196,3.6647421209364e-210,2.64111489509228,0.932,0.065,1.03364051521011e-205,0,2.94611011384598,0.939,0.036,0,9.75706866598055e-201,0
"S100a11",1.33627153051758e-196,2.64455054594704,0.952,0.288,3.76895385182483e-192,7.66905586933371e-212,2.71585133067144,0.98,0.332,2.16305720794557e-207,0,2.80505811193538,0.988,0.407,0,1.33627153051758e-196,0
"mt-Co1",3.37362684293956e-191,-3.0182368594518,0.159,0.848,9.51531451051103e-187,1.18334012121713e-230,-3.02034363006711,0.473,0.993,3.3376108118929e-226,0,-3.35840781705565,0.473,0.996,0,3.37362684293956e-191,0
"Rps29",1.90632778399785e-190,-2.52451207939348,0.445,0.962,5.37679751476593e-186,1.17273528918093e-199,-2.26420153010047,0.488,0.978,3.3076998831348e-195,0,-2.14713969400577,0.48,0.974,0,1.90632778399785e-190,0
"Rplp1",3.25345158319839e-188,-2.37237254614118,0.235,0.873,9.17636019041106e-184,9.37441222844669e-217,-2.31679637040572,0.367,0.972,2.64405296903339e-212,0,-2.21301748572942,0.277,0.927,0,3.25345158319839e-188,0
"Rps5",5.37344843990246e-187,-2.40139679244432,0.128,0.819,1.51558113247449e-182,1.5102798382589e-223,-2.57125009879279,0.212,0.935,4.25974428380923e-219,0,-2.30203376052177,0.17,0.929,0,5.37344843990246e-187,0
"Dusp1",2.89346682329182e-186,2.56359531595444,0.953,0.288,8.16102317509457e-182,1.94337885977196e-221,2.86329754743814,0.998,0.491,5.48130007398681e-217,0,2.75323852351122,1,0.466,0,2.89346682329182e-186,0
"Gm9844",3.10707012452485e-186,-1.87741755079664,0.026,0.692,8.76349128622233e-182,6.70863622607484e-224,-1.53909098637184,0.057,0.812,1.89217084756441e-219,0,-1.55463406190709,0.026,0.717,0,3.10707012452485e-186,0
"Rpl13",1.40591193248505e-173,-1.8305298038348,0.124,0.783,3.96537460557408e-169,3.70558158741747e-218,-1.93797574771532,0.206,0.914,1.0451592867311e-213,0,-1.27622419800637,0.086,0.687,0,1.40591193248505e-173,0
"Msrb1",2.85396069886717e-171,2.32027292682586,0.898,0.182,8.04959615115486e-167,2.57258955528365e-208,2.24040181319861,0.965,0.187,7.25598884067753e-204,0,2.1799757599519,0.953,0.235,0,2.85396069886717e-171,0
"Rplp2",3.70205392428385e-170,-2.44133356398996,0.438,0.941,1.04416430934426e-165,8.17007946353919e-173,-2.19610104252922,0.543,0.972,2.30437091269123e-168,0,-2.14174856684959,0.493,0.96,0,3.70205392428385e-170,0
"Tyrobp",4.72939497070529e-169,1.95028365734309,0.952,0.283,1.33392585148743e-164,6.44823477698014e-196,1.9971566262226,0.994,0.313,1.81872461884725e-191,0,1.96776671806999,0.975,0.357,0,4.72939497070529e-169,0
