"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Actg1",4.465294606251e-66,-1.9226231454627,0.475,0.904,1.25943634369309e-61,4.13414887204602e-84,-2.15751856403839,0.645,0.974,1.16603668936058e-79,1.77490024271509e-185,-2.08489038285292,0.683,0.982,5.0061061345779e-181,4.465294606251e-66,5.32470072814524e-185
"Rps19",6.90026114638698e-86,1.57518452128289,0.866,0.278,1.94621865633845e-81,1.86775717556565e-94,1.47528758226933,0.94,0.288,5.26800911368291e-90,1.97542453024946e-184,1.44103872683329,0.835,0.222,5.57168488756861e-180,6.90026114638698e-86,5.92627359074829e-184
"Mzb1",6.779333934572e-51,1.13133859789552,0.184,0.004,1.91211113624603e-46,2.67540751970376e-76,0.564275584963601,0.24,0.001,7.54598690932446e-72,4.43548246205927e-184,0.862620872595876,0.28,0.001,1.25102782842382e-179,6.779333934572e-51,1.3306447386178e-183
"Fos",2.77957568714323e-78,-3.03728146245945,0.153,0.792,7.83979322558747e-74,1.37880824072417e-82,-3.33821293239015,0.194,0.854,3.88892864296253e-78,6.96354114877029e-184,-3.39529871691843,0.187,0.881,1.96406678101066e-179,2.77957568714323e-78,2.08906234463113e-183
"Blk",5.90062453599386e-44,1.18623506813653,0.153,0.002,1.66427115037707e-39,6.14338528932095e-73,0.896600993699716,0.276,0.009,1.73274182085297e-68,1.94025024213635e-179,1.0138588934452,0.273,0.001,5.47247580794559e-175,5.90062453599386e-44,5.8207507264091e-179
"Rps18",4.81898578432022e-67,1.27993423625617,0.843,0.3,1.35919494046752e-62,1.1830724241817e-90,1.68919154602228,0.959,0.354,3.3368557724045e-86,2.56466632075071e-177,1.46344588151154,0.946,0.32,7.23364135767738e-173,4.81898578432022e-67,7.69399896225207e-177
"S100a11",8.78784649369195e-86,-2.73024006341313,0.13,0.817,2.47861210354581e-81,1.41938036858105e-77,-2.65968095355595,0.23,0.852,4.00336232958284e-73,2.76981963014008e-176,-3.02441243303294,0.232,0.876,7.8122762668101e-172,1.41938036858105e-77,8.30945889042001e-176
"RP23-235E15.1",3.38599011995889e-76,1.29666360186227,0.72,0.188,9.55018513334405e-72,6.59879590763818e-112,1.39446469955206,0.899,0.197,1.86119038574935e-107,4.00199910595275e-174,1.3053571762834,0.748,0.178,1.12876384783397e-169,3.38599011995889e-76,1.20059973178585e-173
"S100a6",2.060040230105e-80,-4.32112532356759,0.203,0.798,5.81034346901115e-76,1.02672659471669e-82,-4.10859874908339,0.198,0.856,2.89588236039843e-78,2.49554247166895e-173,-4.00436103545953,0.05,0.818,7.03867754134228e-169,2.060040230105e-80,7.48662741500667e-173
"Rps24",1.35231428739336e-84,1.47656278139757,0.912,0.342,3.81420244759298e-80,6.73880000071015e-85,1.62051820059723,0.982,0.441,1.9006785402003e-80,1.3798631586633e-171,1.47761686155015,0.928,0.362,3.89190403900985e-167,1.35231428739336e-84,4.13958947598988e-171
"Ccl6",3.92786996427871e-73,-2.89914974392638,0.05,0.705,1.10785572342481e-68,1.454330617538e-80,-3.05328154978585,0.018,0.794,4.10193950676593e-76,8.1124911229129e-171,-3.06592347336968,0.011,0.797,2.28812812121758e-166,3.92786996427871e-73,2.43374733687382e-170
"Il1b",1.40983631808852e-85,-3.64029329136103,0.031,0.756,3.97644333516868e-81,2.0241686726188e-80,-3.80166759135327,0.051,0.8,5.70916774112132e-76,2.06443098218469e-170,-4.04633719866471,0.011,0.795,5.82272758525193e-166,2.0241686726188e-80,6.1932929465542e-170
"Gm11512",7.71009407630793e-77,1.53395110122883,0.67,0.166,2.17463203422265e-72,9.49318383458861e-57,1.01074257109907,0.742,0.255,2.67755250054572e-52,1.11557188320222e-169,1.59928434118208,0.887,0.322,3.14647049657186e-165,9.49318383458861e-57,3.3467156496067e-169
"Ptma",6.88978695150319e-42,1.72727005365763,0.552,0.185,1.94326440967147e-37,2.87955476239256e-81,1.84838627545544,0.889,0.315,8.1217842073282e-77,2.19056726400273e-169,1.76712552020992,0.905,0.326,6.1784949681197e-165,6.88978695150319e-42,6.57170179200814e-169
"Msrb1",2.60879940897443e-85,-2.66047161226277,0.015,0.753,7.35811873301239e-81,2.31700964104295e-81,-2.2419339221364,0.051,0.814,6.53512569256164e-77,4.8669707552838e-169,-2.37420961373315,0.05,0.81,1.3727291015278e-164,2.31700964104295e-81,1.46009122658513e-168
"Rps20",6.15014254631975e-72,1.32757461423388,0.762,0.236,1.73464770518948e-67,4.10978118802995e-106,1.60665313282446,0.926,0.251,1.15916378408385e-101,1.66380637559711e-167,1.35394479816807,0.826,0.241,4.69276588237166e-163,6.15014254631975e-72,4.99141912679132e-167
"Ly6e",7.02910410873874e-69,1.76440921301379,0.805,0.345,1.98255881386976e-64,1.97058243756826e-83,1.82758912607961,0.949,0.493,5.55802776516126e-79,2.70130807844488e-166,1.71141703696989,0.954,0.468,7.61903943525378e-162,7.02910410873874e-69,8.10392423533477e-166
"Fxyd5",6.13253539434121e-74,-1.94810547037499,0.092,0.76,1.72968160797394e-69,6.71904817438821e-89,-1.73436213078431,0.111,0.886,1.89510753758619e-84,4.06219828089068e-166,-1.92806650353498,0.082,0.833,1.14574302512522e-161,6.13253539434121e-74,1.2186594842672e-165
"Tnfrsf13c",2.1607128668507e-39,0.672725166053521,0.157,0.006,6.09429064095241e-35,9.19923815226285e-55,0.541951502139758,0.23,0.011,2.59464512084574e-50,8.98558681589852e-166,0.697396396010462,0.258,0.002,2.53438476142418e-161,2.1607128668507e-39,2.69567604476949e-165
"Alox5ap",1.10239550715309e-57,-2.45955918231495,0.042,0.624,3.10930652792528e-53,9.36292425975653e-72,-2.64413002168229,0.032,0.75,2.64081278746433e-67,5.7468464416751e-161,-2.47743279771447,0.009,0.77,1.62089803887446e-156,1.10239550715309e-57,1.72405393250257e-160
"Gsr",3.50349935943134e-49,-2.23972812313907,0.027,0.549,9.88161994327609e-45,8.79604177698404e-72,-2.55488415903639,0.046,0.755,2.48092358319835e-67,2.31068022827803e-159,-2.47675248610903,0.022,0.772,6.51727358385818e-155,3.50349935943134e-49,6.93204068483414e-159
"S100a8",9.17724138668872e-83,-4.96587084926623,0.111,0.77,2.58844093311555e-78,3.90691145967445e-80,-5.10590075264001,0.124,0.818,1.10194437720118e-75,2.36537309780374e-159,-5.32612337596402,0.03,0.771,6.67153482235545e-155,3.90691145967445e-80,7.09611929341126e-159
"Ets1",3.85677698435371e-31,1.33746714164969,0.318,0.078,1.08780394843696e-26,2.47690242005125e-59,1.36046024092865,0.631,0.169,6.98610327575454e-55,8.24819669135639e-159,1.39063040549767,0.655,0.133,2.32640387679707e-154,3.85677698435371e-31,2.47445900740692e-158
"H2-Oa",4.56606717986362e-68,0.983979672820689,0.234,0.003,1.28785924808053e-63,1.526870437156e-82,0.644115996924829,0.286,0.006,4.3065380679985e-78,8.37278510933023e-159,0.714464868356487,0.28,0.007,2.36154404008659e-154,4.56606717986362e-68,2.511835532799e-158
"S100a9",1.78030348663249e-83,-5.33606819422729,0.111,0.775,5.02134598404694e-79,7.53160726025519e-79,-5.3515402686278,0.152,0.819,2.12428982775498e-74,3.88683070090349e-158,-5.42841391225679,0.033,0.769,1.09628059918983e-153,7.53160726025519e-79,1.16604921027105e-157
"Rpl13a",6.83511834786238e-70,1.40428895916572,0.881,0.374,1.92784513001458e-65,2.02621718859609e-81,1.60674487112657,0.972,0.447,5.71494558043526e-77,2.59291756058143e-155,1.49290461937501,0.902,0.388,7.31332397961992e-151,6.83511834786238e-70,7.77875268174417e-155
"Ptp4a3",9.50523896256265e-30,1.13025347866412,0.257,0.052,2.6809526493908e-25,2.18546737701341e-53,1.01470817592701,0.387,0.06,6.16411073686631e-49,5.87936494228508e-155,1.29936228227896,0.447,0.052,1.65827488197151e-150,9.50523896256265e-30,1.76380948268552e-154
"Tmsb4x",2.52103539655543e-68,-1.0523706766211,0.977,0.999,7.11058033598459e-64,5.23438698147773e-64,-0.972429492804885,0.995,1,1.47635884812579e-59,2.60974371284953e-154,-1.04628804279873,0.993,1,7.36078214209209e-150,5.23438698147773e-64,7.82923113854844e-154
"4930402H24Rik",7.07182520162258e-121,1.57714764150084,0.636,0.076,1.99460829811765e-116,5.05995761254333e-142,1.57149096065313,0.811,0.121,1.42716104461785e-137,5.28390088964895e-154,0.86677899147745,0.443,0.051,1.49032424592549e-149,7.07182520162258e-121,1.58517026689464e-153
"Eef1a1",1.02755141641301e-69,1.41785609195967,0.958,0.532,2.89820876999288e-65,4.73016309080077e-77,1.55136573939068,1,0.685,1.33414249976036e-72,1.62763941063247e-153,1.47028822653838,1,0.636,4.59075695768888e-149,1.02755141641301e-69,4.88291823189741e-153
"Csf3r",1.01077355533706e-75,-2.40354767609064,0.065,0.727,2.85088681282817e-71,1.41893855925144e-76,-2.18924791009314,0.138,0.816,4.0021162063687e-72,6.85263422190675e-152,-2.4053925962907,0.039,0.758,1.9327854822888e-147,1.01077355533706e-75,2.05579026657207e-151
"Rps5",3.1868391995362e-59,1.29286864507726,0.793,0.305,8.98847996229186e-55,3.22530897535322e-87,1.71024690774717,0.959,0.367,9.09698396498375e-83,1.58619245010211e-150,1.3741778510054,0.913,0.354,4.473855805513e-146,3.1868391995362e-59,4.75857735030641e-150
"Rpl18-ps1",2.2883311324529e-55,1.17101189767494,0.858,0.455,6.45423795908341e-51,1.43696021990779e-66,1.31600515690663,0.959,0.601,4.05294630024992e-62,3.08285641983236e-150,1.36603046461245,0.963,0.542,8.69519653213717e-146,2.2883311324529e-55,9.24856925949719e-150
"Lyz2",7.55850113417195e-69,-3.36298945290626,0.08,0.705,2.1318752448932e-64,6.99387526127722e-67,-3.76907556096394,0.092,0.747,1.97262251744324e-62,1.96142176848939e-148,-4.14373748172855,0.059,0.758,5.53219009802432e-144,6.99387526127722e-67,5.88426530546801e-148
"Rps28",2.68598952133875e-64,1.33619574552463,0.854,0.354,7.57583344493594e-60,1.24268342243998e-77,1.23119892286808,0.926,0.321,3.50498859299198e-73,3.31542322812282e-147,1.20934845949138,0.887,0.314,9.35115121492042e-143,2.68598952133875e-64,9.94626968436856e-147
"Rpl19-ps11",1.52358799238987e-54,1.13102827086286,0.778,0.327,4.29727993253563e-50,5.67381225607245e-79,1.26059156519555,0.963,0.397,1.60029874682523e-74,9.87357772604751e-147,1.26339344673747,0.896,0.363,2.7848425976317e-142,1.52358799238987e-54,2.96207331781419e-146
"Mmp9",3.74198493147183e-71,-2.67789770490774,0.034,0.685,1.05542684992163e-66,1.10510119048526e-71,-2.42728622645739,0.028,0.747,3.11693790776367e-67,3.08374584354161e-145,-2.69118078411333,0.009,0.728,8.69770515170912e-141,3.74198493147183e-71,9.25123753062473e-145
"Gm15427",1.18473488943292e-52,1.12186904095253,0.789,0.394,3.34154475564555e-48,6.8070662739357e-57,1.15253319482131,0.908,0.53,1.91993304256357e-52,6.95509530849211e-145,1.32533785508209,0.948,0.521,1.9616846317602e-140,1.18473488943292e-52,2.0865285925476e-144
"Rps27rt",1.38569710219419e-70,1.33916758462618,0.912,0.531,3.90835867673871e-66,1.76895635748372e-73,1.29308521606368,0.991,0.704,4.98934140628283e-69,9.37109066387941e-145,1.37375538848752,0.954,0.583,2.64311612174719e-140,1.38569710219419e-70,2.8113271991638e-144
