"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Il4ra",2.79456789538844e-06,0.421295073598961,0.208,0.115,0.078820787489431,1.86859555082707e-54,0.787436110076708,0.375,0.109,5.27037375110775e-50,9.12575829065961e-90,0.588521615893427,0.394,0.122,2.57392012588054e-85,2.79456789538844e-06,2.73772748719791e-89
"Runx1",1.74406598477353e-09,0.352720011300342,0.132,0.045,4.91913811005373e-05,1.14160974907407e-24,0.497211421122303,0.255,0.104,3.21991029726342e-20,1.3213514637809e-89,0.54756505435997,0.299,0.063,3.72687180359403e-85,1.74406598477353e-09,3.96405439134268e-89
"Cd300lb",1.10550457209805e-12,-0.711472125013525,0.119,0.29,3.11807564560256e-08,5.48897995439346e-61,-0.976103630371272,0.166,0.472,1.54816679613668e-56,1.17818761482625e-88,-0.74998430681049,0.229,0.535,3.32307816761744e-84,1.10550457209805e-12,3.5345628444787e-88
"Lcn2",2.810770273256e-17,-0.924802583184648,0.216,0.439,7.92777755571856e-13,4.14456543981706e-77,-1.28451545351161,0.223,0.578,1.1689746823004e-72,2.34488849953764e-88,-1.01811438833462,0.256,0.559,6.6137580129459e-84,2.810770273256e-17,7.03466549861297e-88
"Alox5ap",1.08515482195124e-16,-0.548773388271923,0.492,0.733,3.06067917531347e-12,1.01292076430452e-52,-0.656943694347368,0.582,0.873,2.8569430157209e-48,2.63686270326105e-85,-0.520639851576295,0.607,0.879,7.4372712545478e-81,1.08515482195124e-16,7.91058810978319e-85
"Bcl2a1c",2.80942148212112e-16,0.296857793226336,0.132,0.024,7.92397329032261e-12,2.74354286102817e-44,0.33039744127758,0.198,0.018,7.73816263952995e-40,3.4452719722372e-84,0.342409585959323,0.214,0.024,9.71738959769502e-80,2.80942148212112e-16,1.03358159167116e-83
"Emc7",1.2457456166714e-07,-0.294041166491643,0.702,0.835,0.00351362551182168,1.70724612466066e-23,-0.481294149492097,0.728,0.876,4.8152876946054e-19,1.10015253980873e-82,-0.762955959331095,0.736,0.883,3.10298023853052e-78,1.2457456166714e-07,3.30045761942614e-82
"Rps18",4.15727274692664e-10,0.45059627963487,0.236,0.113,1.17255877827066e-05,1.15146730496159e-41,0.8057085816845,0.426,0.2,3.24771353364417e-37,3.1437133254765e-82,0.582365434002686,0.385,0.128,8.86684343450648e-78,4.15727274692664e-10,9.43113997642938e-82
"Rpl41",2.43429151628593e-13,0.667507844905508,0.642,0.492,6.86591922168446e-09,4.17922672881038e-31,0.616932236165565,0.73,0.666,1.17875089886097e-26,3.88032736887078e-81,0.666413524848619,0.761,0.585,1.09444633439e-76,2.43429151628593e-13,1.16409821066124e-80
"Gsr",3.36035021664507e-12,-0.404348571980309,0.466,0.673,9.47786778604743e-08,2.96021254886838e-47,-0.6041789690994,0.638,0.89,8.34927949408326e-43,9.03665870356277e-81,-0.521384847668729,0.73,0.913,2.54878958733988e-76,3.36035021664507e-12,2.71099761106886e-80
"Clec5a",7.86469881065673e-05,0.366693757606061,0.137,0.073,1,3.62739923367817e-50,0.835531148738094,0.312,0.077,1.02310795385893e-45,1.72908216755651e-80,0.740329308137418,0.369,0.121,4.87687625359313e-76,7.86469881065673e-05,5.18724650266951e-80
"Ccl3",3.32570909710218e-17,1.48934971295999,0.196,0.056,9.3801625083767e-13,1.52419762564205e-41,1.76126156603042,0.274,0.073,4.29899940312341e-37,2.48766457586329e-80,1.69968264053056,0.31,0.086,7.01645793622241e-76,3.32570909710218e-17,7.46299372758976e-80
"Cnn2",3.04495891307347e-12,-0.504512329122955,0.236,0.434,8.58830661432372e-08,2.68855450691446e-49,-0.537021779853652,0.267,0.583,7.58306798675223e-45,6.47582134562804e-78,-0.648399114249927,0.279,0.554,1.82650541053439e-73,3.04495891307347e-12,1.94274640368841e-77
"Rps27l",1.20905079108083e-08,0.26056118822303,0.104,0.031,0.000341012775624348,1.18156303823498e-31,0.41514123548865,0.241,0.07,3.33259854934177e-27,1.77808815492225e-77,0.387975154144958,0.27,0.057,5.01509764095821e-73,1.20905079108083e-08,5.33426446476679e-77
"Rplp0",1.24410566452647e-08,0.306701467673523,0.289,0.161,0.000350900002679691,2.14727929455693e-15,0.368404123623214,0.334,0.215,6.05640125029783e-11,2.02382249339589e-77,0.534260161256629,0.414,0.157,5.70819134262312e-73,1.24410566452647e-08,6.07146748018774e-77
"Gm10073",2.94707063897655e-08,0.275616181802799,0.243,0.127,0.000831221273723336,1.42884369205152e-25,0.417373739090285,0.311,0.147,4.03005363343132e-21,2.88130659972143e-77,0.49639139378505,0.413,0.153,8.12672526451429e-73,2.94707063897655e-08,8.64391979916417e-77
"Rdh12",3.27023832885305e-09,-0.473420094245188,0.04,0.146,9.22370720653002e-05,3.00664430158281e-77,-0.712529975141538,0.068,0.377,8.4802402526143e-73,1.17121421452664e-70,-0.613736959083035,0.071,0.288,3.30340969207239e-66,3.27023832885305e-09,9.01993290474831e-77
"Rpl19-ps11",2.4404164893436e-05,0.300124436876505,0.274,0.182,0.688319470819361,1.26215155030417e-24,0.524373208468271,0.416,0.254,3.55989844763292e-20,1.10521206156492e-76,0.545749414102926,0.465,0.201,3.11725061964385e-72,2.4404164893436e-05,3.31563618469476e-76
"Rps26",2.29654333172751e-09,0.502264843760213,0.274,0.146,6.47740046713744e-05,1.72042139142386e-29,0.491492392903574,0.351,0.164,4.852448534511e-25,1.02993858690017e-75,0.540207569035272,0.431,0.172,2.90494178435194e-71,2.29654333172751e-09,3.08981576070056e-75
