"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Rpl41",0.107669657754601,0.516302746952243,1,0.645,1,0.0152910222321456,0.914504738289876,1,0.707,1,0.107669657754601,0.0303482291033872
"Fos",0.0153403427470781,-3.69645887101616,0,0.69,1,0.165013374792109,-1.53967758541307,1,0.788,1,0.165013374792109,0.0304453593785583
"Tax1bp1",0.0154794239799945,1.91014971328517,0.5,0.117,1,0.256128208733803,-0.588142256415761,0,0.249,1,0.256128208733803,0.0307192353932365
"Rasgrp2",0.015990454453952,0.63880645019745,0.5,0.116,1,0.406046399791274,-0.340537644624283,0,0.148,1,0.406046399791274,0.03172521427426
"Rps26",0.0161472779501236,0.927651667524219,1,0.367,1,0.245665048525217,0.322601911777563,0.75,0.39,1,0.245665048525217,0.0320338213150486
"Gng10",0.0547232613792718,0.305954616460659,0.25,0.045,1,0.017411100894766,0.960916575788604,0.5,0.127,1,0.0547232613792718,0.0345190553551642
"Asna1",0.0175587084457747,0.311618314035542,0.25,0.033,1,0.0305478719100631,0.269549767451336,0.25,0.038,1,0.0305478719100631,0.0348091086492656
"S100a8",0.0445949928731838,-4.5686650049529,0.25,0.664,1,0.0177221044036222,-5.20896083989366,0,0.673,1,0.0445949928731838,0.0351301358227514
"Gm20503",0.0525924079670882,0.304796224397614,0.25,0.044,1,0.0177577315016959,0.959900575030944,0.5,0.127,1,0.0525924079670882,0.0352001259753054
"Gsr",0.0801269219369131,-2.15054125406811,0,0.466,1,0.0177656459629975,-2.36758194958803,0,0.673,1,0.0801269219369131,0.0352156737495125
"Rps20",0.0178657707246902,0.463368517982803,1,0.32,1,0.0251412430202713,0.324503759529965,1,0.319,1,0.0251412430202713,0.0354123556857933
"S100a9",0.0183612396725988,-5.51532361051548,0,0.669,1,0.0179846755811736,-5.34602489683883,0,0.671,1,0.0183612396725988,0.0356459026065872
"Rpl4",0.0180701648228982,0.942187213099309,0.75,0.272,1,0.0301347267318161,0.433064707208996,1,0.326,1,0.0301347267318161,0.0358137987890696
"Cnppd1",0.0184411670834263,1.28502151557563,0.5,0.126,1,0.623394539236636,0.442684360408299,0.25,0.191,1,0.623394539236636,0.0365422575234539
"Ifi30",0.229784048111989,0.701805230202531,0.25,0.088,1,0.0185477282783382,0.523688220253253,0.5,0.112,1,0.229784048111989,0.0367514383323893
"Lyz2",0.0771559445758315,-3.60016089769778,0.25,0.605,1,0.0189289647415339,-4.15075839263236,0,0.665,1,0.0771559445758315,0.0374996237768815
"Lsm12",0.152047856582343,0.268406415149714,0.25,0.067,1,0.0190451177621515,0.286148015941917,0.25,0.034,1,0.152047856582343,0.0377275190137288
"Csf3r",0.0270270926507089,-2.3570050294539,0,0.622,1,0.0193459139113077,-2.32218978665139,0,0.663,1,0.0270270926507089,0.0383175634375517
"Sbno1",0.435494666235427,-0.59573418554435,0,0.133,1,0.0193661142560167,0.640442766386767,0.75,0.237,1,0.435494666235427,0.0383571821306563
"Nek7",0.307334762195798,0.529224180860107,0.25,0.107,1,0.0197586150384907,0.908711336054759,0.5,0.124,1,0.307334762195798,0.0391268272087422
