"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Psap",7.56784283839487e-59,1.97388843575686,0.916,0.428,2.13451007256927e-54,1.43993677215601e-42,1.96123901294572,0.969,0.642,4.06134166586602e-38,4.09056700468803e-139,1.87256494897136,0.966,0.579,1.15374442367226e-134,1.43993677215601e-42,1.22717010140644e-138
"Krt79",3.26123689815745e-54,1.07710069938271,0.202,0.005,9.19831867125307e-50,6.07722473797624e-29,0.360423938365776,0.112,0.003,1.7140812373462e-24,1.5441072086062e-137,0.643534505615641,0.21,0.001,4.35515438187379e-133,6.07722473797624e-29,4.63232162581859e-137
"Anxa4",1.62861554714085e-23,0.825275959637596,0.107,0.006,4.59351015071076e-19,1.0193866023891e-14,0.256220249356715,0.102,0.008,2.87517991203846e-10,7.10318387098465e-132,0.403791625565913,0.229,0.005,2.00345301081122e-127,1.0193866023891e-14,2.13095516129544e-131
"Plac8",4.38821658608548e-51,2.58655562724584,0.433,0.071,1.23769648810541e-46,8.85328827083946e-62,2.32948761940576,0.643,0.095,2.49706995679027e-57,1.83959643496144e-129,2.2162190814119,0.538,0.093,5.18858174480875e-125,4.38821658608548e-51,5.51878930488431e-129
"Tcf7l2",4.72759903368296e-17,0.691094548494697,0.174,0.033,1.33341930745028e-12,1.98949965156425e-10,0.362725366198741,0.214,0.054,5.61138376723696e-06,6.44968972943176e-129,0.930968864423804,0.34,0.026,1.81913498818623e-124,1.98949965156425e-10,1.93490691882949e-128
"Plet1",4.63002608285798e-48,1.0787967830922,0.298,0.03,1.30589885667009e-43,1.04005634911314e-09,0.732169127292934,0.184,0.046,2.93347893267361e-05,1.268695575515e-128,1.08569910589897,0.337,0.026,3.57835587074005e-124,1.04005634911314e-09,3.80608672654492e-128
"Prcp",2.34679905460599e-14,0.383958410719778,0.146,0.027,6.61914673351621e-10,1.0471566153419e-31,0.4602567403942,0.388,0.059,2.95350523357183e-27,1.3493223960393e-128,0.552834349551995,0.408,0.039,3.80576381802883e-124,2.34679905460599e-14,4.04796718811789e-128
"Grn",1.15757137011026e-55,1.118633911562,0.517,0.093,3.26493004939598e-51,1.15638213935615e-32,0.878837153683002,0.602,0.149,3.26157582405403e-28,3.8835562442023e-128,0.917995232519549,0.632,0.12,1.09535703867726e-123,1.15638213935615e-32,1.16506687326071e-127
"Npc2",1.45220281069209e-46,1.21515461344752,0.539,0.12,4.09593802755703e-42,2.12970301580886e-36,1.10808315391276,0.714,0.189,6.00682735608888e-32,8.75120730605439e-128,1.15983754418248,0.737,0.178,2.46827802067264e-123,2.12970301580886e-36,2.6253621918163e-127
"Tnfsfm13",2.77435194534475e-17,0.299849583293882,0.101,0.009,7.82505966184487e-13,9.54746518713302e-34,0.405437982166416,0.194,0.011,2.69286255603087e-29,4.20515726233351e-127,0.323708676613352,0.204,0.002,1.18606460584117e-122,2.77435194534475e-17,1.26154717870002e-126
"Lyz1",4.18035345425451e-55,1.86525232766013,0.944,0.541,1.17906869177248e-50,2.69893662627748e-37,2.19867592804311,0.99,0.628,7.61235075441563e-33,9.98349203141842e-125,2.1078651742747,0.958,0.602,2.81584392746156e-120,2.69893662627748e-37,2.99504760942559e-124
"F13a1",2.01765724989223e-33,0.490394441487413,0.163,0.01,5.69080227332103e-29,3.43499917027962e-45,0.369749955689179,0.235,0.011,9.68841515977366e-41,1.30375827175227e-123,0.566037359415167,0.195,0.002,3.67725020547729e-119,2.01765724989223e-33,3.91127481525679e-123
"Lsr",4.10852236375937e-31,0.465390260481765,0.129,0.005,1.15880873269833e-26,1.1964784484017e-18,0.376754405868342,0.133,0.011,3.37466746371698e-14,1.69141648976714e-123,0.290985423809348,0.201,0.003,4.77064020938821e-119,1.1964784484017e-18,5.07424946930137e-123
"Mt1",3.32685789641632e-55,0.923331895829545,0.225,0.008,9.38340269684223e-51,8.90075796393636e-26,0.583249787955869,0.235,0.026,2.51045878372825e-21,7.80344964854088e-123,0.699090525858819,0.297,0.018,2.20096297337096e-118,8.90075796393636e-26,2.34103489456222e-122
"Lyz2",7.14283275787339e-58,1.9414977086961,0.949,0.561,2.01463597935819e-53,4.62318584190267e-37,2.21104825602503,0.99,0.641,1.30396956670865e-32,1.41828228211444e-122,2.11012444904432,0.966,0.63,4.00026517670378e-118,4.62318584190267e-37,4.25484684634341e-122
"Sulf2",4.71649518744123e-07,0.451197432251178,0.18,0.072,0.013302874676178,9.20627129316953e-10,0.318786881509668,0.296,0.096,2.59662881823846e-05,3.79370398482642e-122,0.652285892964191,0.38,0.037,1.07001420892029e-117,4.71649518744123e-07,1.13811119544794e-121
"Lamp1",2.69330037629957e-43,0.858229460576184,0.449,0.083,7.59645371135294e-39,1.00079922661184e-49,1.01972336359527,0.745,0.157,2.82275421865869e-45,2.89857861984539e-121,1.07771447475944,0.722,0.175,8.17544099727391e-117,2.69330037629957e-43,8.69573585953601e-121
"Slc29a1",3.41976253302428e-20,0.522314836973158,0.157,0.022,9.64544022439499e-16,8.18476642668752e-19,0.25386279364209,0.214,0.031,2.30851337064722e-14,1.64594775886042e-120,0.433508726363263,0.255,0.011,4.64239565386582e-116,8.18476642668752e-19,4.93784327658129e-120
"Ms4a6c",1.63490937156974e-18,0.936483041731694,0.36,0.121,4.61126188251245e-14,3.0135726718151e-27,1.28623150955443,0.684,0.261,8.49978172085448e-23,2.18698669571457e-119,1.24256621163017,0.544,0.098,6.16839597526294e-115,1.63490937156974e-18,6.56096008714351e-119
"Clic4",1.09978970011305e-18,0.470787368011716,0.112,0.01,3.10195684916885e-14,7.26862286916762e-15,0.335269784585897,0.194,0.032,2.05011508024873e-10,1.16550992122564e-118,0.558679243391015,0.329,0.026,3.28732073281692e-114,7.26862286916762e-15,3.49652976367701e-118
"Sgk1",1.01528246515058e-08,0.396766025748125,0.163,0.052,0.000286360419295722,1.08860097965388e-21,0.597942112120456,0.439,0.105,3.07039906311378e-17,1.89713293195607e-116,1.057155232702,0.527,0.091,5.3508634345821e-112,1.01528246515058e-08,5.69139879586826e-116
"Hsd3b7",3.50688741024684e-16,0.652624200639207,0.112,0.013,9.89117594060121e-12,1.84561861099572e-16,0.290025098732064,0.143,0.015,5.20556729231343e-12,3.51775992579837e-115,0.498910405213863,0.218,0.006,9.92184187071429e-111,3.50688741024684e-16,1.05532797773949e-114
"Hsp90b1",1.67706698308404e-26,0.746545156372208,0.315,0.066,4.73016742578854e-22,7.85761897501092e-42,0.792333603218703,0.653,0.127,2.21624143190183e-37,8.0569462205586e-115,0.770414615310675,0.623,0.122,2.27246168150855e-110,1.67706698308404e-26,2.41708386616756e-114
"Lgals3",4.14288235914509e-52,1.71032302750062,0.736,0.237,1.16849996939687e-47,1.66309118091042e-27,0.948128044186152,0.837,0.325,4.69074867575784e-23,7.81697762332546e-114,1.24584883066304,0.836,0.285,2.20477853865895e-109,1.66309118091042e-27,2.34509328699766e-113
"F11r",1.45913838635993e-27,0.358939632577609,0.146,0.01,4.11549981872819e-23,1.11594001815495e-26,0.318616574039151,0.133,0.006,3.14750882120603e-22,4.06379189110965e-113,0.319309331739921,0.218,0.007,1.14619250288748e-108,1.11594001815495e-26,1.21913756733287e-112
"Tagln2",6.88010734526017e-46,1.36072242820563,0.5,0.105,1.94053427673063e-41,1.07631082440793e-29,1.08500047032218,0.622,0.166,3.03573468024257e-25,1.5764960122851e-111,1.29786144978083,0.635,0.142,4.44650700265013e-107,1.07631082440793e-29,4.72948803685528e-111
"Gstm1",3.57351534299909e-37,0.825212030361913,0.213,0.017,1.00791000249289e-32,3.85498614323297e-43,0.896171184664621,0.316,0.026,1.08729884169886e-38,2.3717124402391e-110,0.883382187125358,0.303,0.024,6.68941493769437e-106,3.57351534299909e-37,7.11513732071729e-110
"Apoe",2.73580704671584e-36,1.38490923423313,0.343,0.06,7.71634377526204e-32,8.09700395888863e-67,1.93147573446873,0.694,0.106,2.28375996660454e-62,2.68136152691091e-109,1.67022746644921,0.45,0.071,7.56278018665222e-105,2.73580704671584e-36,8.04408458073262e-109
"Net1",8.33856983072854e-22,0.558851974830796,0.101,0.006,2.35189362075699e-17,1.13127049850666e-22,0.301507526789668,0.143,0.01,3.19074844103804e-18,3.2083845033187e-109,0.404655176858899,0.227,0.009,9.0492484916104e-105,8.33856983072854e-22,9.62515350995609e-109
"Mgat4b",1.3380802327044e-16,0.45274605798618,0.101,0.01,3.77405529634277e-12,9.49390639722991e-13,0.338369000613228,0.133,0.018,2.6777562993387e-08,8.41533617292055e-106,0.416959345238677,0.207,0.007,2.37354556757224e-101,9.49390639722991e-13,2.52460085187614e-105
"Scarb1",4.35221315836364e-09,0.894057761910284,0.202,0.077,0.000122754172131647,1.1954904857927e-07,0.561648778530823,0.327,0.141,0.0033718809151783,2.53313124919158e-104,0.566985439653771,0.348,0.038,7.14469668834485e-100,1.1954904857927e-07,7.59939374757466e-104
"Ccr2",7.13303586550699e-18,0.465639525875221,0.157,0.025,2.01187276586625e-13,1.1047734010377e-26,0.71071389786771,0.327,0.052,3.11601337762682e-22,4.73896750879287e-103,1.0672712523975,0.303,0.027,1.33662578585503e-98,7.13303586550699e-18,1.42169025263784e-102
"Camkk2",1.11456740964029e-26,0.73958046407567,0.242,0.04,3.14363737889043e-22,1.45245533092416e-40,0.594197842341161,0.418,0.054,4.0966502608716e-36,3.67580293738609e-102,0.637427132614434,0.414,0.059,1.03676021848975e-97,1.11456740964029e-26,1.10274088121581e-101
"S100a8",3.21754697869805e-44,-3.71518655789269,0.219,0.718,9.07509125341785e-40,1.90113729870208e-25,-3.47047298691615,0.357,0.751,5.36215775098921e-21,8.54816738606852e-102,-4.03414055149289,0.119,0.735,2.41101061124063e-97,1.90113729870208e-25,2.56445021582052e-101
"S100a9",2.48534896822877e-44,-3.87339840858925,0.225,0.722,7.00992676488925e-40,1.62734005118823e-26,-3.57033970008931,0.327,0.758,4.58991261437642e-22,5.77791374267944e-101,-4.09789969018566,0.122,0.733,1.62966057112274e-96,1.62734005118823e-26,1.73337412280381e-100
"Cd68",6.03941008314604e-23,0.738447788072903,0.416,0.133,1.70341561395134e-18,3.44687030190311e-34,0.726376150198066,0.633,0.152,9.72189768651772e-30,4.74444096547293e-99,0.633589924324816,0.535,0.102,1.33816957431164e-94,6.03941008314604e-23,1.42333228964188e-98
"Myo1g",1.06524107564676e-29,0.565415344725311,0.337,0.066,3.0045124538617e-25,8.3324307221804e-47,0.73635521647066,0.571,0.088,2.35016208519098e-42,1.24397914870687e-98,0.722856671474161,0.476,0.083,3.50864318892772e-94,1.06524107564676e-29,3.73193744612056e-98
"Cd48",2.89495067390608e-12,0.366704722671428,0.112,0.019,8.16520837575211e-08,1.88892661212401e-33,0.423904159771855,0.367,0.048,5.32771750949578e-29,2.73858471266344e-97,0.552882919215773,0.365,0.045,7.72417818206722e-93,2.89495067390608e-12,8.21575413799027e-97
"Laptm4a",1.95358846768257e-27,0.844341945938814,0.309,0.064,5.51009627309868e-23,6.09266662130104e-31,0.84051421598191,0.551,0.119,1.71843662053796e-26,4.60471691066316e-96,0.716128223149423,0.603,0.133,1.29876040465254e-91,1.95358846768257e-27,1.38141507319894e-95
"Srgn",6.63487648216866e-36,-2.61358906317188,0.253,0.696,1.87136691179567e-31,8.51141712875478e-22,-1.70860012973684,0.837,0.9,2.40064520116528e-17,8.53874569082116e-96,-2.0270399863769,0.714,0.917,2.40835322209611e-91,8.51141712875478e-22,2.56162370724634e-95
"Gngt2",2.21425092230895e-29,0.654266920136429,0.298,0.054,6.24529472637238e-25,1.39357984300414e-40,0.777376738989214,0.561,0.1,3.93059194719318e-36,6.44864620418718e-95,0.665983401849477,0.425,0.067,1.81884066189099e-90,2.21425092230895e-29,1.93459386125616e-94
"Mmp9",9.01293532337323e-39,-2.33340219054496,0.118,0.637,2.54209840795742e-34,5.10072259443206e-23,-1.96817184704731,0.214,0.68,1.43865880775956e-18,1.8621886058361e-94,-2.40803403251558,0.088,0.694,5.25230296276072e-90,5.10072259443206e-23,5.58656581750828e-94
"Ptma",3.73386383248464e-11,0.551999675349011,0.461,0.217,1.05313629395229e-06,2.35556585335593e-30,0.943431203116442,0.959,0.355,6.64387348939039e-26,3.33154265913651e-94,1.00230338179899,0.943,0.342,9.39661607009452e-90,3.73386383248464e-11,9.99462797740946e-94
"Rps27l",2.61562520415789e-24,0.520466593917417,0.225,0.037,7.37737088832734e-20,6.69885957025243e-27,0.322323771529785,0.449,0.087,1.8894133417897e-22,1.41397670205913e-93,0.50320499945408,0.439,0.07,3.98812128815778e-89,2.61562520415789e-24,4.24193010617734e-93
"Ppia",7.35689199548987e-19,0.580319939451486,0.629,0.269,2.07501138732792e-14,5.28446599904392e-25,0.985700735980392,0.888,0.349,1.49048363503034e-20,1.44797636430164e-93,1.01328963280511,0.909,0.331,4.08401733551277e-89,7.35689199548987e-19,4.34392909290491e-93
"Cdkn1a",3.97827525893968e-30,0.639359675532972,0.281,0.046,1.12207253678394e-25,4.41230319461126e-34,0.939478741505261,0.612,0.137,1.24449011604011e-29,3.78964194477471e-93,0.77945718441199,0.496,0.092,1.06886851052371e-88,3.97827525893968e-30,1.1368925834324e-92
"Rras",1.13883932254538e-31,0.442889999608271,0.174,0.013,3.21209630923925e-27,3.96861527117726e-62,0.601106321579317,0.337,0.017,1.11934793723555e-57,4.27471481896541e-93,0.467364631059332,0.238,0.016,1.20568331468919e-88,1.13883932254538e-31,1.28241444568962e-92
"Cbfa2t3",7.01226025153579e-14,0.712025741115079,0.112,0.017,1.97780800394567e-09,6.18591114668549e-21,0.321583821449687,0.194,0.022,1.74473623892264e-16,5.20656549504702e-93,0.454635305174498,0.207,0.01,1.46851179787801e-88,7.01226025153579e-14,1.56196964851412e-92
"Csf1r",1.95231085070719e-29,1.4177818179951,0.438,0.123,5.50649275441964e-25,1.48148946444596e-47,1.71819952731924,0.806,0.214,4.17854103446983e-43,5.73265083697359e-91,1.24796967604577,0.657,0.19,1.6168941685684e-86,1.95231085070719e-29,1.71979525109205e-90
"Pdia6",3.09627461518977e-20,0.601538371639729,0.191,0.032,8.73304255214274e-16,5.20148964436585e-19,0.582823472771843,0.347,0.075,1.46708015419339e-14,5.99125028823836e-90,0.568519266703308,0.365,0.05,1.68983214379763e-85,5.20148964436585e-19,1.79737508647148e-89
"Atp1a1",1.16425788218134e-33,0.585517725946185,0.315,0.051,3.28378935669247e-29,5.16997720968205e-52,0.773102428655039,0.592,0.084,1.45819207199082e-47,2.22026223128245e-89,0.519242706194216,0.414,0.065,6.26224962333214e-85,1.16425788218134e-33,6.66078669384739e-89
"Cxcr2",7.82916759793778e-28,-1.62019862687948,0.27,0.632,2.20821672099835e-23,6.41462467831369e-23,-1.52368523728653,0.469,0.779,1.80924489051838e-18,7.21415725816802e-89,-1.81468318767253,0.289,0.752,2.03475305466629e-84,6.41462467831369e-23,2.16424717745041e-88
"Sell",8.77450978079182e-20,-1.83335233712393,0.067,0.412,2.47485048367233e-15,3.19659297091421e-23,-1.72776538950827,0.224,0.723,9.01599047446352e-19,2.40675578486626e-87,-1.83658765265649,0.19,0.738,6.78825469121528e-83,8.77450978079182e-20,7.22026735459883e-87
"Ctsh",1.24993771745697e-20,0.451219782959178,0.236,0.048,3.52544933208738e-16,5.28275917230145e-26,0.392608592780559,0.48,0.105,1.49000222454763e-21,3.32363225217505e-87,0.441045750739326,0.442,0.076,9.37430476725972e-83,1.24993771745697e-20,9.97089675652512e-87
